,author,published_at,updated_at,like_count,text
66,StarBright,2023-04-25T15:55:41Z,2023-04-25T15:55:41Z,0,"Haha all a scam. When I was in school the world was supposed to be gone by now. The earth is always changing how do you think the ice age left? Wake up people abs stop fearing everything  they push your way line a little kid. Wake up.  California pushing electric cars where the batteries cause more harm, and that can’t even handle a warm day without blackouts. Scam!!!"
67,Ibrahim Kabay,2023-04-22T13:08:22Z,2023-04-22T13:08:22Z,0,Injustice &amp; Climate change??????????
68,Ibrahim Kabay,2023-04-22T13:07:07Z,2023-04-22T13:07:07Z,0,War &amp; Climate change???????
69,jd nettles,2023-04-22T11:12:46Z,2023-04-22T11:12:46Z,1,The earth has had 10°c rises in 40 years in the past. That one fact alone decimates the human caused global warming hoax. People like John Kerry are making a fortune on this scam. Now all the elites are taking your tax dollars telling you it will save the planet. Look up catastrophism. It&#39;s a thing this planet and all other planets in our solar system go through. Limited deforestation is definitely good. Stop dumping garbage is another good idea. China is the world leader in coal plants. This video is pure propaganda and nothing more. WTFU people. Read! Research!
70,lili_limon_5,2023-04-12T12:43:13Z,2023-04-12T12:43:13Z,0,"Omg, THANK YOU, THE BEST PERSON PERSON IN THE WORLD! Really, you explained everything straight forward and without any unwanted stuff, thanks to you I understood how this enormous circle works)"
71,BunkerBroadcasting,2023-04-09T12:20:55Z,2023-04-09T12:20:55Z,0,Climate change is a hoax. John Kerry and Al Gore are liars.
72,Michael Northey,2023-04-01T22:47:50Z,2023-04-01T22:47:50Z,0,The bible tells you what happening
73,The NDS Show Podcast,2023-03-31T16:30:58Z,2023-03-31T16:30:58Z,0,"👉The UNs Mysterious Plan to Fight Climate Change Revealed Here: <a href=""https://youtu.be/AqVvi-LDPzw"">https://youtu.be/AqVvi-LDPzw</a>"
74,suk i long,2023-03-29T08:27:50Z,2023-03-29T08:27:50Z,0,User is CHIAZ6630A
75,suk i long,2023-03-29T08:27:05Z,2023-03-29T08:27:05Z,0,YOU R IN MY SLS user
76,Lemons Melons,2023-03-28T14:56:23Z,2023-03-28T14:56:23Z,0,Cowabummer!!!!!!!!!!!!!!!
77,101 Life,2023-03-27T00:56:29Z,2023-03-27T00:56:29Z,0,No such thing.
78,Christian,2023-03-25T13:20:33Z,2023-03-25T13:20:33Z,0,Share this with family and friends 🚨🚨🚨
79,Shelly Smith,2023-03-22T17:36:35Z,2023-03-22T17:36:35Z,0,A way to scam billions of dollars with fear mongering....?
80,Mr. Green,2023-03-22T13:16:39Z,2023-03-22T13:16:39Z,0,Bullshit
81,Glade Goodrich,2023-03-21T02:16:53Z,2023-03-21T02:16:53Z,0,Had snow for 6 straight months here in So. Utah. When the hell is this climate change going to show up????
82,Maranatha,2023-03-11T00:35:54Z,2023-03-11T00:35:54Z,0,"What a steaming load. We&#39;re supposed to care about &quot;climate change&quot;, when the rich greedy people fly in their private jets to talk about how the common person is causing the temperature to go up and down. It&#39;s hilariously sad, really."
83,Eric Koch,2023-03-03T08:10:57Z,2023-03-03T08:10:57Z,0,"sub-saharan development is literally killing us....where in the developed world, sub saharan&#39;s terroism is driving urban sprawl.<br>oddly, climate change has been primarily caused by the fossil fuels used to transform once topsoil carbon sink into more starving methane emitters in sub-saharan africa. <br>oh sure,<br>development seems to be the only way to figure out how many of them actually live in africa.....but is that really worth it?"
84,M S,2023-03-02T15:25:49Z,2023-03-02T15:25:49Z,0,Palestine was a unavoidable accident.Better get your act together.
85,Michael Krick,2023-03-01T17:18:49Z,2023-03-01T17:18:49Z,0,"What is climate change? A big hoax. I&#39;m 76, been hearing this lie since I was in grade school. I&#39;m 76, been hearing this lie since I was in grade school. I live in Ohio, it&#39;s still hot in the summer,  cold in the winter, rains a lot in the spring and is just right for football in the fall, go BUCKS!!!"
86,khwaja ram,2023-03-01T13:59:36Z,2023-03-01T13:59:36Z,0,"Thank you ClickView.<br>Your video on Climate change is very informative and you have provided the solutions to the problem. I think every country knows about the solution but if these solutions are followed then don&#39;t you think the massive population will be left with no alternative. Please do not take me in a negative sense as I am mentioning on my personal experience. My cousin is a butcher and he is into this profession since childhood now all of a sudden he will be asked to leave his profession then I thing everyone associated with his output will be in a state of doldrums. He is supplying flesh to different organization and the supply in not in kgs but tonnes. it is the duty of every individuals to take the ownership then situation will come to a normal. Once I had a very rough argument with a chicken seller few years ago from then onwards I left consuming chicken, even during any occasion I would go for some other food item but not chicken. I think I did my part. If everyone takes the ownership then there will be a change sooner or later. Finally your video is an eye-opener and it should be brought to the notice of the legislature who can make some laws and the executive will have some binding effect. I believe it is just the game of Demand and Supply.<br><br>Best Wishes.<br>Khwaja Ram."
87,Salpi Vartivarian,2023-02-27T15:47:01Z,2023-02-27T15:47:01Z,2,I&#39;m amazed at how calm he is as he is narrating this.
88,Lee Rethus,2023-02-23T00:02:30Z,2023-02-23T00:02:30Z,1,It&#39;s a wank
89,Paul Green,2023-02-20T15:55:48Z,2023-02-20T15:55:48Z,0,"Fly a private jet. That helps! Big business warship money and power.  Electricity benefits A.I., Robots, technology. Will we ? Are we being replaced. See eye see."
90,Freedom.,2023-02-18T06:22:53Z,2023-02-18T06:22:53Z,0,Climet change caused by G7 gor their industrialization. They must give sanction
91,MichalMaps,2023-02-17T16:28:07Z,2023-02-17T16:28:07Z,0,Now almost every day ireland is covered in clouds
92,pied piper,2023-02-16T22:02:14Z,2023-02-16T22:02:14Z,0,"Climate change isn&#39;t caused by hotter temperatures but by increased oceanic swelling.  Such oceanic swelling is what drives extreme weather patterns.  Ships wakes, transport air pressure changes, wind power all contribute to increased waves and therefore extreme weather patterns"
93,montesquelie,2023-02-16T01:43:02Z,2023-02-16T02:31:57Z,2,"If the richest are so concerned about climate change that they are contributing the most, why no single rich person suggests to limit everyone plane journeys say to 40k kilometers a year? They instead want majority to eat bugs and warms instead to &#39;save&#39; the planet from their pollution. Just liers!"
94,Bruce Lee,2023-02-11T12:18:26Z,2023-02-11T12:18:26Z,1,"Fun fact, every climate fearmonger has an iphone"
95,TANUJ AADITYA,2023-02-05T13:04:26Z,2023-02-05T13:04:26Z,0,The weapons with which the bourgeoisie felled feudalism to the ground are now turned against the bourgeoisie itself.<br>Communist manifesto
96,al su,2023-02-02T21:37:41Z,2023-02-02T21:37:41Z,1,"Lunatic people?<br>Believes and worship the<br>Climate Change.<br>And the right word to describe them, FoolS,.,."
97,Rogério Godinho,2023-02-02T01:06:04Z,2023-02-02T01:06:04Z,0,"I&#39;d like to present you my new song &quot;SOS PLANET&quot;. This song addresses the urgent changes that Humanity must carry out. Attitudes must shift in order to avoid the imminent and irremediable destruction of Nature and Planet Earth. The song imagines the last surviving man on Earth as he apologizes for humanity’s mistakes. “SOS Planet” serves as a wake-up call to everyone, in particular to world leaders. &quot;Take care of the earth. It&#39;s our home.”  I hope you like it<br><a href=""https://www.youtube.com/watch?v=2MLZ6u49_GM"">https://www.youtube.com/watch?v=2MLZ6u49_GM</a>"
98,Kevin Hadler,2023-02-01T22:42:45Z,2023-02-01T22:42:45Z,0,What is climate change summer fall winter spring that&#39;s real climate change 4 times a year
